Customer ID,Recency,Frequency,Monetary,R,F,M,RFM Score,Segment,Revenue,Orders,CLV_Estimate
C10001,23,52,14510.039999999999,3,5,5,13,Champions,14510.039999999999,52,21765.059999999998
C10002,26,6,1529.347,3,1,2,6,Needs Attention,1529.347,6,2294.0205
C10003,3,30,8333.294,5,5,5,15,Champions,8333.294,30,12499.940999999999
C10004,10,24,6358.664,4,4,4,12,Loyal Customers,6358.664,24,9537.996
C10005,30,11,3186.147,3,3,3,9,Potential Loyalists,3186.147,11,4779.220499999999
C10006,33,11,1719.441,2,3,2,7,Potential Loyalists,1719.441,11,2579.1615
C10007,69,15,3844.198,2,4,4,10,Loyal Customers,3844.198,15,5766.297
C10008,135,8,2967.798,1,2,3,6,Needs Attention,2967.798,8,4451.697
C10009,23,10,1809.932,3,3,2,8,Potential Loyalists,1809.932,10,2714.898
C10010,46,5,1125.399,2,1,1,4,Needs Attention,1125.399,5,1688.0984999999998
C10011,58,10,1739.6205,2,3,2,7,Potential Loyalists,1739.6205,10,2609.43075
C10012,14,9,3069.8015,3,2,3,8,Potential Loyalists,3069.8015,9,4604.70225
C10013,83,10,1390.3475,1,3,2,6,Needs Attention,1390.3475,10,2085.5212500000002
C10014,39,6,1300.4295,2,1,2,5,Needs Attention,1300.4295,6,1950.6442499999998
C10015,3,11,1830.944,5,3,2,10,Loyal Customers,1830.944,11,2746.416
C10016,302,8,1769.3345,1,2,2,5,Needs Attention,1769.3345,8,2654.00175
C10017,11,11,1389.357,4,3,2,9,Potential Loyalists,1389.357,11,2084.0355
C10018,24,11,2377.238,3,3,3,9,Potential Loyalists,2377.238,11,3565.857
C10019,1,47,10705.887,5,5,5,15,Champions,10705.887,47,16058.8305
C10020,17,15,3163.7425,3,4,3,10,Loyal Customers,3163.7425,15,4745.6137499999995
C10021,2,11,3205.8675,5,3,3,11,Loyal Customers,3205.8675,11,4808.8012499999995
C10022,81,4,513.222,1,1,1,3,At Risk,513.222,4,769.833
C10023,38,11,6030.5075,2,3,4,9,Potential Loyalists,6030.5075,11,9045.76125
C10024,139,5,676.0749999999999,1,1,1,3,At Risk,676.0749999999999,5,1014.1125
C10025,18,10,1852.3565,3,3,2,8,Potential Loyalists,1852.3565,10,2778.5347500000003
C10026,10,28,8805.4915,4,4,5,13,Champions,8805.4915,28,13208.23725
C10027,42,8,1676.1,2,2,2,6,Needs Attention,1676.1,8,2514.1499999999996
C10028,42,4,531.6915,2,1,1,4,Needs Attention,531.6915,4,797.5372500000001
C10029,64,9,1845.5955,2,2,2,6,Needs Attention,1845.5955,9,2768.39325
C10030,53,8,1424.0995,2,2,2,6,Needs Attention,1424.0995,8,2136.14925
C10031,8,33,8457.7965,4,5,5,14,Champions,8457.7965,33,12686.69475
C10032,1,20,5159.646,5,4,4,13,Champions,5159.646,20,7739.468999999999
C10033,24,12,3440.011,3,3,4,10,Loyal Customers,3440.011,12,5160.0165
C10034,18,7,1039.602,3,2,1,6,Needs Attention,1039.602,7,1559.4030000000002
C10035,3,17,4299.799,5,4,4,13,Champions,4299.799,17,6449.6985
C10036,2,27,5910.262,5,4,4,13,Champions,5910.262,27,8865.393
C10037,133,10,3719.8745,1,3,4,8,Potential Loyalists,3719.8745,10,5579.81175
C10038,159,7,1074.897,1,2,1,4,Needs Attention,1074.897,7,1612.3455
C10039,39,3,386.57399999999996,2,1,1,4,Needs Attention,386.57399999999996,3,579.8609999999999
C10040,30,20,3978.6605,3,4,4,11,Loyal Customers,3978.6605,20,5967.99075
C10041,8,14,4453.1095000000005,4,4,4,12,Loyal Customers,4453.1095000000005,14,6679.664250000001
C10042,60,1,348.32,2,1,1,4,Needs Attention,348.32,1,522.48
C10043,17,18,4339.245,3,4,4,11,Loyal Customers,4339.245,18,6508.8675
C10044,47,17,3662.834,2,4,4,10,Loyal Customers,3662.834,17,5494.251
C10045,24,26,4865.9765,3,4,4,11,Loyal Customers,4865.9765,26,7298.964749999999
C10046,157,13,3870.5545,1,3,4,8,Potential Loyalists,3870.5545,13,5805.83175
C10047,5,7,1546.8545000000001,5,2,2,9,Potential Loyalists,1546.8545000000001,7,2320.28175
C10048,7,11,2601.632,4,3,3,10,Loyal Customers,2601.632,11,3902.4480000000003
C10049,10,10,2851.7695000000003,4,3,3,10,Loyal Customers,2851.7695000000003,10,4277.6542500000005
C10050,47,30,10352.418,2,5,5,12,Loyal Customers,10352.418,30,15528.627
C10051,34,8,2525.278,2,2,3,7,Potential Loyalists,2525.278,8,3787.9169999999995
C10052,4,19,4714.1455,5,4,4,13,Champions,4714.1455,19,7071.21825
C10053,13,6,810.3679999999999,4,1,1,6,Needs Attention,810.3679999999999,6,1215.552
C10054,27,9,1947.1335000000001,3,2,2,7,Potential Loyalists,1947.1335000000001,9,2920.7002500000003
C10055,392,5,1160.7375000000002,1,1,1,3,At Risk,1160.7375000000002,5,1741.1062500000003
